"P09","P03","P13","P17","P18","P19","P02A","P05","P06","P08","P10","P11","P12","P15","P20","P21","P22","grupo_protesto","idade","renda","educação","ideologia","sexo","FATOR_POND"
5,5,10,5,10,10,10,10,10,10,10,10,10,5,5,5,5,"Não protestou",23,1,14,5,"Feminino",0.856390889306487
9,8,10,10,10,10,10,8,6,10,10,8,10,2,9,2,0,"Não protestou",31,1,15,2,"Feminino",0.871634957645385
7,8,10,4,10,7,8,7,8,8,8,5,6,7,6,9,8,"Já protestou",43,4,14,10,"Masculino",1.05726881295876
7,8,10,5,10,8,6,3,10,7,7,10,10,5,5,10,0,"Já protestou",33,1,14,10,"Feminino",0.783166146800456
10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,0,"Não protestou",24,1,13,0,"Masculino",0.904534821075421
0,0,0,0,7,5,5,0,0,0,10,2,0,0,1,1,2,"Não protestou",42,5,15,7,"Feminino",1.13263520340799
10,0,5,10,10,10,10,0,10,10,10,10,10,0,10,10,0,"Não protestou",57,4,12,0,"Feminino",1.2370702415494
10,10,5,3,10,10,6,10,10,3,10,5,10,3,5,5,1,"Não protestou",42,4,16,0,"Feminino",0.832598044071402
10,0,1,0,10,9,10,0,10,9,10,9,10,10,0,5,0,"Não protestou",30,3,14,NA,"Masculino",1.03126226646255
5,0,0,0,8,0,10,10,3,8,10,0,5,7,8,0,3,"Não protestou",65,1,4,10,"Feminino",0.919955771453115
8,5,10,7,10,10,8,9,10,8,9,10,10,0,8,0,0,"Já protestou",43,3,14,0,"Masculino",0.776720050130207
10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,0,"Não protestou",32,2,14,NA,"Feminino",0.774022415620858
10,5,10,5,10,0,10,5,10,10,10,10,10,0,10,4,0,"Já protestou",16,1,5,0,"Masculino",0.998423932903769
9,4,10,10,10,8,9,7,4,9,9,8,9,7,8,7,5,"Não protestou",62,1,3,10,"Feminino",0.994876769752929
8,10,8,5,10,8,10,8,10,8,8,10,10,10,5,0,0,"Não protestou",29,2,16,NA,"Feminino",0.797714959699315
8,5,8,5,10,5,10,10,10,5,10,5,10,5,7,5,1,"Não protestou",54,3,16,7,"Masculino",1.01321176188237
0,2,0,10,7,5,2,10,5,0,0,2,0,0,5,5,10,"Não protestou",50,2,15,0,"Feminino",0.960663599713143
10,8,10,10,10,10,10,5,10,10,10,9,10,3,8,4,1,"Não protestou",33,1,11,5,"Feminino",0.8266672801656
8,10,10,8,10,10,10,10,10,9,10,8,10,10,10,8,0,"Já protestou",64,2,16,0,"Feminino",0.790400690626007
5,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,"Não protestou",18,2,12,3,"Masculino",0.894084308951027
8,3,10,4,10,3,10,10,10,8,10,3,7,0,9,0,0,"Pensou em protestar",26,3,14,10,"Masculino",0.811427533417887
4,9,10,8,6,10,10,3,5,10,2,1,5,2,5,10,1,"Não protestou",76,1,8,5,"Feminino",1.37162816219922
10,8,10,5,10,8,10,10,7,10,10,10,8,0,0,0,5,"Não protestou",26,NA,13,10,"Masculino",1.13560073312592
10,10,10,10,10,0,10,10,10,10,10,2,10,0,5,4,0,"Não protestou",45,1,13,6,"Masculino",0.755974149113497
10,8,10,7,10,8,10,10,10,10,10,10,10,3,8,1,2,"Pensou em protestar",29,2,14,0,"Feminino",1.16975075004976
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,"Não protestou",44,2,9,9,"Feminino",0.818982437989183
10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,0,0,"Não protestou",65,2,7,10,"Masculino",1.15237937936527
10,2,10,9,10,9,2,8,6,5,7,2,10,8,9,6,10,"Não protestou",46,2,15,0,"Feminino",0.818272982579489
0,0,5,4,9,0,0,4,2,7,2,4,4,10,0,2,7,"Já protestou",60,4,16,5,"Feminino",0.896342341981296
8,10,10,0,10,0,10,10,10,10,0,10,10,0,10,10,0,"Não protestou",72,1,14,0,"Masculino",0.786183082111053
6,8,8,6,8,6,5,6,6,8,6,8,8,7,4,8,2,"Não protestou",45,3,13,10,"Masculino",1.29685243541679
8,8,10,8,10,10,10,10,8,10,10,7,10,8,4,5,0,"Não protestou",52,2,15,5,"Feminino",0.748440426398781
0,0,7,1,5,10,2,2,1,0,2,3,0,0,1,10,1,"Já protestou",44,4,16,NA,"Masculino",0.928458658896958
10,8,10,10,10,0,6,0,4,6,10,0,8,9,7,10,0,"Não protestou",59,1,1,NA,"Masculino",1.02995996611429
8,6,10,6,6,3,6,8,6,6,5,6,8,6,6,8,2,"Não protestou",68,2,4,10,"Masculino",1.51460008402065
8,9,10,10,10,7,10,7,6,9,10,9,9,4,10,0,0,"Não protestou",25,1,14,6,"Feminino",0.692526305945359
6,3,9,0,6,1,4,3,8,5,0,5,9,5,8,7,6,"Não protestou",46,1,8,10,"Feminino",1.27040251674654
7,0,10,10,10,10,10,5,10,10,10,8,10,0,10,7,0,"Pensou em protestar",44,1,16,NA,"Feminino",1.268015405821
10,10,10,5,10,5,9,10,10,10,10,0,10,2,10,10,0,"Não protestou",60,3,16,0,"Masculino",0.754108779327165
10,10,10,10,10,0,10,0,10,10,0,10,10,10,10,10,10,"Não protestou",38,1,8,6,"Masculino",0.870429048850212
10,5,10,5,10,2,10,10,10,7,10,2,4,2,2,10,0,"Não protestou",24,2,14,8,"Masculino",0.79209213149411
